GT	Pred	Corrected	Prob	WRR_Correct	Post_WRR_Correct
వెంటనే	వెంటనే	వెంటనే	0.9990	1	1
(Gastric ulcer)	(Gastriouler)	(Gastriouler)	0.9445	0	0
ఉద్దౌలాను''	ఉదౌలాను"	ఉదౌలాను"	0.8894	0	0
ధ్యానమే	ధ్యానమే	ధ్యానమే	0.9568	1	1
మురళీకృష్ణ	మురళీకృష్ణ	మురళీకృష్ణ	0.9996	1	1
వికసించెను.	వికసించెను.	వికసించెను.	0.9833	1	1
[నృత్యం]	(నృత్యం	(నృత్యం	0.9104	0	0
లాడూ	లాడూ	లాడూ	0.9991	1	1
వ్యవహారములు	వ్యవహారములు	వ్యవహారములు	0.9937	1	1
ఇది	ఇది	ఇది	0.9994	1	1
యోగం	యోగం	యోగం	0.9757	1	1
యింతకంటే	యింతకంటే	యింతకంటే	0.9872	1	1
నువ్వు	నువ్వు	నువ్వు	0.9961	1	1
అన్నారు.	అన్నారు.	అన్నారు.	0.9992	1	1
తరువాత	తరువాత	తరువాత	0.9995	1	1
అంతస్సంబంధం	అంతస్సంబంధం	అంతస్సంబంధం	0.9840	1	1
భయం|	ధయ	ధయ	0.9907	0	0
నాళ్ల	నాళ్ల	నాళ్ల	0.9939	1	1
తరువాత	తరువాత	తరువాత	0.9566	1	1
సామాన్యమైన	సామాన్యమైన	సామాన్యమైన	0.9996	1	1
తదేవ	'తదేవ'	'తదేవ'	0.9850	0	0
వస్తారు.	వస్తారు.	వస్తారు.	0.9994	1	1
అన్నారు	అన్నారు	అన్నారు	0.9998	1	1
దిగంబరుడు	దిగంబరుడు	దిగంబరుడు	0.9672	1	1
పరబ్రహ్మము	పరబ్రహ్మము	పరబ్రహ్మము	0.9998	1	1
ధారణ,	ధారణ,	ధారణ,	0.9961	1	1
ఆమె.	ఆమె.	ఆమె.	0.9882	1	1
ప్రయోజనము	ప్రయోజనము	ప్రయోజనము	0.9463	1	1
నాసిక	నాసిక	నాసిక	0.9995	1	1
రుండెడివారు,	రుండెడివారు.	రుండెడివారు.	0.9801	0	0
తేనెలచిందూ	తేనెలచిందూ	తేనెలచిందూ	0.9996	1	1
గలిగేను.	గలిగేను.	గలిగేను.	0.9887	1	1
వారి	వారి	వారి	0.9992	1	1
[పాపాయి	పపాపాయి	పపాపాయి	0.9459	0	0
ఇది	ఇది	ఇది	0.9994	1	1
దెబ్బతిన్న	దెబ్బతిన్న	దెబ్బతిన్న	0.9991	1	1
లాస	లాన	లాన	0.9590	0	0
కాని.	కాని,	కాని,	0.9673	0	0
గలవను	గలవను	గలవను	0.9666	1	1
[దీనంగా	పదీనంగా	పదీనంగా	0.9282	0	0
అన్నాడు.	అన్నాడు.	అన్నాడు.	0.9996	1	1
ఆటలాడి	అటలాడి	అటలాడి	0.9925	0	0
పడిపోతుంది	పడిపోతుంది	పడిపోతుంది	0.9991	1	1
మంచి	మంచి	మంచి	0.9994	1	1
మీదకి	మీదకి	మీదకి	0.9981	1	1
పవిత్రమైనటు	పవిత్రమైనటు	పవిత్రమైనటు	0.9615	1	1
నిరోధం	నిరోధం	నిరోధం	0.9993	1	1
కైలాసాన్ని	కైలాసాన్ని	కైలాసాన్ని	0.9991	1	1
చేసి	చేసి	చేసి	0.9996	1	1
ఋషులు	ఋషులు	ఋషులు	0.9809	1	1
రాజ్యస్థాపన	రాజ్యస్థాపన	రాజ్యస్థాపన	0.9816	1	1
