GT	Prediction	PostProcessedPrediction	Probability	WRR_Correct	Post_WRR_Correct
వెంటనే	వెంటనే	వెంటనే	0.999032	1	1
ధ్యానమే	ధ్యానమే	ధ్యానమే	0.956833	1	1
మురళీకృష్ణ	మురళీకృష్ణ	మురళీకృష్ణ	0.999567	1	1
లాడూ	లాడూ	లాడూ	0.999073	1	1
వ్యవహారములు	వ్యవహారములు	వ్యవహారములు	0.993723	1	1
ఇది	ఇది	ఇది	0.999394	1	1
యోగం	యోగం	యోగం	0.975749	1	1
నువ్వు	నువ్వు	నువ్వు	0.996141	1	1
తరువాత	తరువాత	తరువాత	0.999529	1	1
అంతస్సంబంధం	అంతస్సంబంధం	అంతస్సంబంధం	0.984017	1	1
నాళ్ల	నాళ్ల	నాళ్ల	0.993888	1	1
తరువాత	తరువాత	తరువాత	0.956615	1	1
సామాన్యమైన	సామాన్యమైన	సామాన్యమైన	0.999557	1	1
అన్నారు	అన్నారు	అన్నారు	0.999801	1	1
దిగంబరుడు	దిగంబరుడు	దిగంబరుడు	0.967159	1	1
పరబ్రహ్మము	పరబ్రహ్మము	పరబ్రహ్మము	0.999847	1	1
ప్రయోజనము	ప్రయోజనము	ప్రయోజనము	0.946320	1	1
నాసిక	నాసిక	నాసిక	0.999490	1	1
వారి	వారి	వారి	0.999218	1	1
ఇది	ఇది	ఇది	0.999412	1	1
దెబ్బతిన్న	దెబ్బతిన్న	దెబ్బతిన్న	0.999061	1	1
ఆటలాడి	అటలాడి	అటలాడి	0.992538	0	0
పడిపోతుంది	పడిపోతుంది	పడిపోతుంది	0.999060	1	1
మంచి	మంచి	మంచి	0.999387	1	1
మీదకి	మీదకి	మీదకి	0.998148	1	1
నిరోధం	నిరోధం	నిరోధం	0.999334	1	1
కైలాసాన్ని	కైలాసాన్ని	కైలాసాన్ని	0.999064	1	1
చేసి	చేసి	చేసి	0.999568	1	1
ఋషులు	ఋషులు	ఋషులు	0.980938	1	1
రాజ్యస్థాపన	రాజ్యస్థాపన	రాజ్యస్థాపన	0.981595	1	1
చిగురుటాకులు	చిగురుటాకులు	చిగురుటాకులు	0.962952	1	1
రీతిని	రీతిని	రీతిని	0.998008	1	1
ధ్యానం	ధ్యానం	ధ్యానం	0.999386	1	1
వచ్చినప్పుడు	వచ్చినప్పుడు	వచ్చినప్పుడు	0.962756	1	1
ఆవుల్ని	ఆవుల్ని	ఆవుల్ని	0.986338	1	1
మంది	మంది	మంది	0.999551	1	1
ఇదిగో	ఇదిగో	ఇదిగో	0.913877	1	1
కంఠధ్వనులు	కంఠధ్వనులు	కంఠధ్వనులు	0.997753	1	1
ఇది	ఇది	ఇది	0.999718	1	1
రన	రన	రన	0.995713	1	1
కస	కన	కన	0.855705	0	0
నబాబు	నబాబు	నబాబు	0.997376	1	1
దూడను	దూడును	దూడును	0.989595	0	0
సామ్రాజ్యంలో	సామ్రాజ్యంలో	సామ్రాజ్యంలో	0.989460	1	1
ఒక	ఒక	ఒక	0.999750	1	1
ఐశ్వ	ఐశ్వ	ఐశ్వ	0.997083	1	1
అది	అది	అది	0.999600	1	1
చక్క	చక్క	చక్క	0.999525	1	1
చంద్ర	చందర	చంద్ర	0.795769	0	1
అన్నీ	అన్నీ	అన్నీ	0.999047	1	1
సమాధి	సమాధి	సమాధి	0.999672	1	1
నేఁడు	నేఁడు	నేఁడు	0.976183	1	1
పోవునట్లు	పోవునట్లు	పోవునట్లు	0.994712	1	1
గతి	గతి	గతి	0.879886	1	1
సన్యాసాన్ని	సన్యాసాన్ని	సన్యాసాన్ని	0.999232	1	1
ఎక్కడా	ఎక్కడా	ఎక్కడా	0.954510	1	1
చిరుతలు	చిరుతలు	చిరుతలు	0.997999	1	1
మీకు	మీకు	మీకు	0.999619	1	1
వచ్చుచున్న	వచ్చుచున్న	వచ్చుచున్న	0.984423	1	1
అంటే	అంటే	అంటే	0.999124	1	1
చిన్నరి	చిన్నరి	చిన్నరి	0.958730	1	1
గారు	కారు	కారు	0.836070	0	0
కాల	కాల	కాల	0.999052	1	1
లోని	లోని	లోని	0.981961	1	1
వారిని	వారిని	వారిని	0.999511	1	1
ప్రథమ	ప్రథమ	ప్రథమ	0.995878	1	1
రాజ్యము	రాజ్యము	రాజ్యము	0.999860	1	1
నున్న	నున్న	నున్న	0.893278	1	1
రోజులలో	కోజులలో	కోజులలో	0.985051	0	0
ఏళ్ళు	ఏళ్ళు	ఏళ్ళు	0.936197	1	1
సుబేదారు	సుబేదారు	సుబేదారు	0.987450	1	1
యోగము	యోగము	యోగము	0.999898	1	1
పెద్దనగారు	పెద్దనగారు	పెద్దనగారు	0.985060	1	1
హోయసల	హోయసల	హోయసల	0.999268	1	1
దానికితోడు	దానికితోడు	దానికితోడు	0.986955	1	1
ఊరికే	ఊరికే	ఊరికే	0.999167	1	1
జాగ్రత్తగ	జాగత్తగనే	జాగత్తగనే	0.994268	0	0
ఎక్కడికి	ఎక్కడికి	ఎక్కడికి	0.968367	1	1
ఇక్కడినుంచి	ఇక్కడినుంచి	ఇక్కడినుంచి	0.984285	1	1
కొన్ని	కొన్ని	కొన్ని	0.999924	1	1
వపుషే	వపుషే	వపుషే	0.981441	1	1
దర్శించునపుడు	దశ్శించునపుడు	దశ్శించునపుడు	0.966971	0	0
శ్రీ	శ్రీ	శ్రీ	0.903481	1	1
వెనుక	వెనుక	వెనుక	0.991868	1	1
ఉచ్ఛ్వాస	ఉచ్ఛావాస	ఉచ్ఛ్వాస	0.850181	0	1
వచ్చిన	వచ్చిన	వచ్చిన	0.999525	1	1
ఎట్టి	ఎట్టి	ఎట్టి	0.960417	1	1
దేశంలో	దేశంలో	దేశంలో	0.985738	1	1
జరుగక	జరుగక	జరుగక	0.989346	1	1
వారి	వారి	వారి	0.957502	1	1
లేకుండా	లేకుండా	లేకుండా	0.999585	1	1
చెప్పటం	చెప్పటం	చెప్పటం	0.999736	1	1
రూపములేని	రూపములేని	రూపములేని	0.956252	1	1
అట్టి	అట్టి	అట్టి	0.999476	1	1
నీ	నీ	నీ	0.999123	1	1
శరీరమంతా	శరీరమంతా	శరీరమంతా	0.969353	1	1
కాలమునందు	కాలమునందు	కాలమునందు	0.956293	1	1
స్పర్థలు	సప్పిలు	సప్పులు	0.790600	0	0
వాళ్లు	వాళ్లు	వాళ్లు	0.969435	1	1
విద్యారణ్య	విద్యారణ్య	విద్యారణ్య	0.998424	1	1
పిలుపు	పిలుపు	పిలుపు	0.948092	1	1
శ్వాస	శ్వాస	శ్వాస	0.933151	1	1
వివరణ	వివరణ	వివరణ	0.994874	1	1
అన్నా	అన్నా	అన్నా	0.998820	1	1
కయ్యమునకు	కయ్యమునకు	కయ్యమునకు	0.967816	1	1
పారిజాతాపహరణంలో	పారిజాతాపహరణంలో	పారిజాతాపహరణంలో	0.999006	1	1
లెమ్మని	లెమ్మని	లెమ్మని	0.998769	1	1
అంటూ	అంటూ	అంటూ	0.998927	1	1
తెలిసికొని	తెలిసికొని	తెలిసికొని	0.991585	1	1
అంటే	అంటే	అంటే	0.999175	1	1
ఆమెకు	ఆమెకు	ఆమెకు	0.954930	1	1
